,x,y,label
compressed natural gas,1.2500323,-2.4950325,6
electric energy storage,14.963998,15.842185,-1
emission control,15.575162,9.277205,-1
heating,6.3998957,3.5952642,-1
internal combustion engines,10.61711,-4.491954,13
magnetic storage,10.22813,6.489769,46
power control,10.735183,5.046405,46
compressed natural gasses (cng),-6.1940417,8.601786,29
emission reduction,9.05608,3.5432985,43
energy and emissions,9.040928,2.7937562,43
energy balance models,10.383683,5.7322364,46
energy storage systems,10.934346,6.0810194,46
heat and electricity,9.501179,0.05927601,-1
micro cogeneration,11.210904,5.701208,46
water storage tanks,12.392401,5.614235,37
exhaust systems (engine),10.185331,3.9372678,46
compressed natural gas,1.2558899,-2.5033252,6
dynamometers,10.385038,4.222584,32
energy policy,9.186403,9.359749,-1
fog,10.152967,4.888155,46
formaldehyde,10.972227,6.8170714,-1
gasoline,8.887841,5.6483717,4
methanol,9.67698,16.594355,-1
ozone,9.930387,5.2323422,-1
vehicles,6.3097925,9.72635,41
atmospheric environment,8.263427,5.5860043,-1
chassis dynamometers,10.582114,6.4367294,-1
emission characteristics,9.373883,3.2154286,43
gaseous pollutants,7.79134,-2.7953947,1
ozone formation potentials,9.555671,5.0510798,-1
regulated pollutants,9.1462555,3.0223424,43
vehicle driving cycle,9.93104,6.2158484,46
vehicle emission,8.096585,7.3025746,-1
air pollution,5.7848744,1.0902965,-1
alkane,10.218267,4.9966264,46
benzene,9.763861,4.790568,46
formaldehyde,10.972268,6.8170934,-1
hydrocarbon,9.283172,4.0416656,46
methanol,9.6892395,16.582262,-1
ozone,9.930401,5.2323637,-1
toluene,7.916105,5.96101,46
gasoline,8.892454,5.638986,4
ozone,9.930418,5.232376,-1
alternative fuel,16.159105,5.3011823,-1
atmospheric pollution,8.190465,5.620825,-1
formaldehyde,10.972231,6.817098,-1
methanol,9.678689,16.592669,-1
ozone,9.930425,5.2323666,-1
traffic emission,10.61166,1.5336126,-1
air pollution,5.8131156,1.1178818,-1
article,-1.4433548,17.858849,-1
calculation,10.727507,6.7092457,46
combustion,13.844221,7.356068,38
environmental temperature,9.3208685,2.391798,46
evaporation,9.9849615,3.3823714,46
exhaust gas,9.183106,3.8870425,-1
flow rate,10.183716,5.9518223,46
high temperature,9.733117,3.9288518,46
quantitative analysis,10.652285,7.7225986,46
vaporization,10.084961,3.7355657,46
air pollutant,5.9802685,6.469637,-1
environmental monitoring,9.5889845,5.7061677,46
exhaust gas,9.213983,3.8562605,-1
motor vehicle,12.757038,5.4737005,-1
pollutant,9.469111,4.9657197,-1
air pollutants,5.9607663,6.490251,-1
environmental monitoring,9.589023,5.7061653,46
environmental pollutants,8.8436985,2.3006883,43
gasoline,8.908267,5.6269603,4
methanol,9.679352,16.592033,-1
motor vehicles,12.7553005,5.4676933,-1
ozone,9.93028,5.2322702,-1
vehicle emissions,8.06284,7.311318,-1
beryllium compounds,10.098042,5.0214415,46
brakes,20.215197,4.4137506,-1
diesel engines,4.9382343,-0.15368848,20
hydrogen,8.723906,4.412713,18
hydrogen fuels,7.182707,-2.312654,-1
nitric oxide,11.09315,5.5859947,-1
preignition,10.226366,4.7202587,46
smoke,14.43278,4.677122,-1
brake thermal efficiency,9.862011,4.8837013,-1
comparative studies,12.162037,8.395625,46
compressed natural gasses (cng),-6.22782,8.651028,29
compression ignition,11.302003,6.3479714,-1
compression ignition engine,11.300285,6.3473425,-1
compression-ignition engines,11.300023,6.347227,-1
homogeneous charge compression ignition,11.302213,6.3480577,-1
mode of operations,10.112182,6.528742,46
compressed natural gas,1.2898107,-2.4223406,6
energy efficiency,19.021627,5.3359294,21
